,avgrating,features,link,name,price,rating
11,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8-sapphire-blue-64-gb/p/itm7efbaeb38bf94?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKPYDENDXZZ7U.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8 (Sapphire Blue, 64 GB)","₹8,999","4,62,232 Ratings & 38,562 Reviews"
12,4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGM2SHASI&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFDXZ36Y4DJBGM.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999","7,83,774 Ratings & 69,257 Reviews"
13,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-ruby-32-gb/p/itmfgwba8kmejqpe?pid=MOBFKK9JCA4W3E9S&lid=LSTMOBFKK9JCA4W3E9SMT95W2&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKK9JCA4W3E9S.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499","1,11,471 Ratings & 8,962 Reviews"
14,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRYU9DNF&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFZHC5QRBG2BSR.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme C3 (Frozen Blue, 64 GB)","₹8,499","34,003 Ratings & 3,318 Reviews"
15,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-midnight-black-32-gb/p/itme2e12a5859993?pid=MOBFKF98FFAAY8EB&lid=LSTMOBFKF98FFAAY8EBS8FFCJ&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKF98FFAAY8EB.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8A (Midnight Black, 32 GB)","₹6,999","1,19,839 Ratings & 9,174 Reviews"
16,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-blue-64-gb/p/itm592977b0ba210?pid=MOBFM2WZ9AZUPTTZ&lid=LSTMOBFM2WZ9AZUPTTZXXEDBC&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFM2WZ9AZUPTTZ.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5s (Crystal Blue, 64 GB)","₹10,999","2,23,399 Ratings & 20,601 Reviews"
17,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-ocean-blue-32-gb/p/itmeeddf84c49585?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPBOY0ET&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKF98ZVHXHUEP.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8A (Ocean Blue, 32 GB)","₹7,499","1,09,602 Ratings & 8,997 Reviews"
18,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-sunset-red-32-gb/p/itme8b392d46394f?pid=MOBFKF987VGBEP4X&lid=LSTMOBFKF987VGBEP4XWPCXLY&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFKF987VGBEP4X.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi 8A (Sunset Red, 32 GB)","₹7,499","1,09,602 Ratings & 8,997 Reviews"
19,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-purple-64-gb/p/itm592977b0ba210?pid=MOBFM2WZGMU7DPZQ&lid=LSTMOBFM2WZGMU7DPZQXTQHMR&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFM2WZGMU7DPZQ.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5s (Crystal Purple, 64 GB)","₹11,999","2,23,399 Ratings & 20,601 Reviews"
20,4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-blue-128-gb/p/itm592977b0ba210?pid=MOBFM2WZW8VZEXK3&lid=LSTMOBFM2WZW8VZEXK39K1SNR&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFM2WZW8VZEXK3.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Realme 5s (Crystal Blue, 128 GB)","₹11,999","2,23,399 Ratings & 20,601 Reviews"
21,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-note-7s-sapphire-blue-64-gb/p/itmfh75f4rhcjdfk?pid=MOBFGGJ8CKGVHHZU&lid=LSTMOBFGGJ8CKGVHHZULJU9WG&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=e4b73f10-bda1-418d-83c9-a9a7a6b1bdf4.MOBFGGJ8CKGVHHZU.SEARCH&ssid=dvkzpu8w4w0000001587809084133&qH=eb4af0bf07c16429,"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999","3,89,227 Ratings & 32,762 Reviews"
