,name,link,features,price,rating,avgrating,website
35,morvin india Germi Q  Hand Sanitizer Bottle,http://www.flipkart.com/morvin-india-germi-q-hand-sanitizer-bottle/p/itmd0264979df421?pid=HWSFPUGTNUYJV2DM&lid=LSTHWSFPUGTNUYJV2DM02GASZ&marketplace=FLIPKART&srno=s_1_36&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPUGTNUYJV2DM.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹240,(24),4,flipkart
36,SuperFox  5000ml Hand Sanitizer Bottle,http://www.flipkart.com/superfox-5000ml-hand-sanitizer-bottle/p/itmb483741ac30d4?pid=HWSFMKYN6V3KWHWX&lid=LSTHWSFMKYN6V3KWHWXYENM2I&marketplace=FLIPKART&srno=s_1_37&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFMKYN6V3KWHWX.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,"₹2,295",(18),4.3,flipkart
37,TEJ HAND CLEAN ( Waterless - 5Ltr) Hand Sanitizer Bottl...,http://www.flipkart.com/tej-hand-clean-waterless-5ltr-sanitizer-bottle/p/itm2ed879d24153b?pid=HWSFPUKFNJMQBZQW&lid=LSTHWSFPUKFNJMQBZQWVIWROJ&marketplace=FLIPKART&srno=s_1_38&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPUKFNJMQBZQW.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,"₹2,299",(7),4.6,flipkart
38,Dr Venture instant  Anti-Bacterial 500 ml pack of 2 Han...,http://www.flipkart.com/venture-instant-anti-bacterial-500-ml-pack-2-hand-sanitizer-pump-dispenser/p/itm726f4f0259e53?pid=HWSFPAZW9HBKKHHG&lid=LSTHWSFPAZW9HBKKHHGLG1MFP&marketplace=FLIPKART&srno=s_1_39&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPAZW9HBKKHHG.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹449,(30),3.9,flipkart
39,Dr Venture pf859 instant  Antibacterial Pack Of 500 ml ...,http://www.flipkart.com/venture-pf859-instant-antibacterial-pack-500-ml-50-hand-sanitizer-bottle/p/itm7918cb3f9fdbc?pid=HWSFPAHCHMGYSTXC&lid=LSTHWSFPAHCHMGYSTXCPKYYX9&marketplace=FLIPKART&srno=s_1_40&otracker=search&fm=organic&iid=ec0b7f2a-2b24-48ff-be88-45168cfa61d2.HWSFPAHCHMGYSTXC.SEARCH&ssid=b98og3brc00000001588506539997&qH=249599aa7e2e0ef5,,₹259,(3),4.7,flipkart
40,SterloMax Pack of 2 - 75% Isopropyl Alcohol-based Hand ...,http://www.flipkart.com/sterlomax-pack-2-75-isopropyl-alcohol-based-hand-rub-sanitizer-disinfectant-500-ml-bottle/p/itm7c71280bda0b8?pid=HWSFQQYA9GPNHSMB&lid=LSTHWSFQQYA9GPNHSMBWX45CJ&marketplace=FLIPKART&srno=s_2_41&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFQQYA9GPNHSMB.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹500,(235),4.5,flipkart
41,SterloMax Pack of 4 - 75% Isopropyl Alcohol-based Hand ...,http://www.flipkart.com/sterlomax-pack-4-75-isopropyl-alcohol-based-hand-rub-sanitizer-disinfectant-500-ml-bottle/p/itmfcd2cd6b60beb?pid=HWSFQQYAKDFHQVJQ&lid=LSTHWSFQQYAKDFHQVJQTFEKXW&marketplace=FLIPKART&srno=s_2_42&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFQQYAKDFHQVJQ.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,"₹1,000",(67),4.5,flipkart
42,Ayurdaily Khadi Anti-Bacterial hand Sanitizer Hand Sani...,http://www.flipkart.com/ayurdaily-khadi-anti-bacterial-hand-sanitizer-bottle/p/itmc84c449f66bdd?pid=HWSFPNNBQWAYRENP&lid=LSTHWSFPNNBQWAYRENPFUE5RE&marketplace=FLIPKART&srno=s_2_43&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFPNNBQWAYRENP.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹104,(169),3.9,flipkart
43,Aloe Clean Anti Bacterial  1000 Ml Refill Pack Hand San...,http://www.flipkart.com/aloe-clean-anti-bacterial-1000-ml-refill-pack-hand-sanitizer-pump/p/itm1e6349d93fa6e?pid=HWSFPNPGUNBV7GVF&lid=LSTHWSFPNPGUNBV7GVF0B28M9&marketplace=FLIPKART&srno=s_2_44&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFPNPGUNBV7GVF.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹499,(41),3.6,flipkart
44,Skiura  kills 99.99% germs and infection without water ...,http://www.flipkart.com/skiura-kills-99-99-germs-infection-without-water-triple-action-formula-sanitizes-pack-2-hand-sanitizer-bottle/p/itma23d4cf98ed11?pid=HWSFQY8E6ZMV6NPV&lid=LSTHWSFQY8E6ZMV6NPVXP392X&marketplace=FLIPKART&srno=s_2_45&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFQY8E6ZMV6NPV.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹210,(3),4.3,flipkart
45,West-Coast Stericlean-M Hand Cleansing Sanitizer Soluti...,http://www.flipkart.com/west-coast-stericlean-m-hand-cleansing-sanitizer-solution-protects-dirt-virus-500ml-bottle/p/itm9b675af98b1d2?pid=HWSFQYZPTPPYWWCY&lid=LSTHWSFQYZPTPPYWWCYTCPFHD&marketplace=FLIPKART&srno=s_2_46&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFQYZPTPPYWWCY.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹249,(4),4.5,flipkart
46,"Khadi India 63% Ethyl Alcohol  200ml, Pack of 1 Hand Sa...",http://www.flipkart.com/khadi-india-63-ethyl-alcohol-200ml-pack-1-hand-sanitizer-bottle/p/itmf40599581baf3?pid=HWSFPZ8BHHXAW6SZ&lid=LSTHWSFPZ8BHHXAW6SZRBLFMY&marketplace=FLIPKART&srno=s_2_47&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFPZ8BHHXAW6SZ.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹100,(19),4.4,flipkart
47,Skiura  kills 99.99% germs and infection without water ...,http://www.flipkart.com/skiura-kills-99-99-germs-infection-without-water-triple-action-formula-sanitizes-pack-3-hand-sanitizer-bottle/p/itmedc00469fa6dc?pid=HWSFQY8KBZCWGWX6&lid=LSTHWSFQY8KBZCWGWX69PSEBW&marketplace=FLIPKART&srno=s_2_48&otracker=search&fm=organic&iid=28ed9537-42d9-4141-b13b-34bf93e04071.HWSFQY8KBZCWGWX6.SEARCH&ssid=qnxe4gmlww0000001588506542204&qH=249599aa7e2e0ef5,,₹279,(3),4.3,flipkart
